Date,Open,Close,High,Low
2016-07-01,1.1136,1.1103,1.1169,1.1069
2016-06-30,1.1105,1.1123,1.1157,1.1022
2016-06-29,1.1125,1.1063,1.1131,1.1046
2016-06-28,1.1066,1.1024,1.1112,1.1006
2016-06-27,1.1026,1.1068,1.1087,1.0968
2016-06-26,1.104,1.101,1.1075,1.1008
2016-06-24,1.1117,1.139,1.1434,1.0909
2016-06-23,1.1388,1.1294,1.1424,1.1293
2016-06-22,1.1297,1.124,1.1339,1.1234
2016-06-21,1.1242,1.131,1.1351,1.1239
2016-06-20,1.1314,1.1281,1.1386,1.128
2016-06-19,1.1347,1.1334,1.1358,1.1308
2016-06-17,1.1277,1.1223,1.1299,1.1218
2016-06-16,1.1226,1.1257,1.1298,1.1129
2016-06-15,1.1259,1.1203,1.1299,1.1188
2016-06-14,1.1208,1.1291,1.1304,1.1186
2016-06-13,1.1292,1.1251,1.1304,1.1231
2016-06-12,1.1239,1.1251,1.1254,1.1235
2016-06-10,1.1251,1.1315,1.1329,1.1243
2016-06-09,1.1316,1.1397,1.1417,1.1303
2016-06-08,1.1394,1.1356,1.1412,1.1347
2016-06-07,1.1358,1.1353,1.1382,1.1336
2016-06-06,1.1355,1.1349,1.1396,1.1325
2016-06-05,1.1351,1.1356,1.1372,1.1345
2016-06-03,1.1367,1.115,1.1377,1.1134
2016-06-02,1.1151,1.1187,1.1221,1.114
2016-06-01,1.1188,1.113,1.1198,1.1111
2016-05-31,1.1132,1.1135,1.1176,1.112
2016-05-30,1.1146,1.1114,1.1148,1.1096
2016-05-29,1.1108,1.1114,1.1115,1.1107
2016-05-27,1.1115,1.1192,1.1201,1.1106
2016-05-26,1.1194,1.1152,1.1218,1.1142
2016-05-25,1.1155,1.1139,1.1169,1.1126
2016-05-24,1.1141,1.1218,1.1228,1.1129
2016-05-23,1.1219,1.1215,1.1246,1.1184
2016-05-22,1.1221,1.1212,1.1223,1.1212
2016-05-20,1.1224,1.1202,1.1239,1.1192
2016-05-19,1.1203,1.1215,1.123,1.1178
2016-05-18,1.1217,1.1311,1.1327,1.121
2016-05-17,1.1314,1.1318,1.135,1.13
2016-05-16,1.132,1.1307,1.1345,1.1299
2016-05-15,1.1318,1.1313,1.1319,1.1303
2016-05-13,1.1308,1.1375,1.1383,1.1281
2016-05-12,1.1377,1.1424,1.1434,1.1366
2016-05-11,1.1427,1.1371,1.1448,1.1366
2016-05-10,1.1372,1.1381,1.1413,1.1357
2016-05-09,1.1383,1.1399,1.1422,1.1373
2016-05-08,1.1385,1.1397,1.1401,1.1384
2016-05-06,1.1405,1.1405,1.1479,1.1384
2016-05-05,1.1405,1.1485,1.1496,1.1384
2016-05-04,1.1487,1.1494,1.153,1.1465
2016-05-03,1.1497,1.1531,1.1616,1.1493
2016-05-02,1.1532,1.1444,1.1539,1.1443
2016-05-01,1.1462,1.1461,1.1466,1.1453
2016-04-29,1.1456,1.1352,1.1461,1.1333
2016-04-28,1.1353,1.1318,1.137,1.1294
2016-04-27,1.1321,1.1295,1.1363,1.1271
2016-04-26,1.1299,1.1264,1.1339,1.1254
2016-04-25,1.1266,1.1228,1.128,1.1213
2016-04-24,1.1232,1.1219,1.1234,1.1219
2016-04-22,1.1234,1.1287,1.1312,1.1216
2016-04-21,1.1288,1.1295,1.1396,1.127
2016-04-20,1.1297,1.1354,1.1388,1.1286
2016-04-19,1.1358,1.1312,1.1387,1.13
2016-04-18,1.1314,1.1295,1.1334,1.1272
2016-04-15,1.1283,1.1268,1.132,1.1243
2016-04-14,1.1268,1.1272,1.1296,1.1232
2016-04-13,1.1274,1.1383,1.1393,1.1264
2016-04-12,1.1386,1.1406,1.1466,1.1345
2016-04-11,1.1408,1.1405,1.1448,1.1371
2016-04-08,1.1401,1.1376,1.1421,1.1347
2016-04-07,1.1377,1.1396,1.1455,1.1335
2016-04-06,1.1399,1.1382,1.1434,1.1325
2016-04-05,1.1384,1.1387,1.1406,1.1334
2016-04-04,1.1392,1.1391,1.1414,1.1355
2016-04-01,1.1387,1.1378,1.1439,1.1332
2016-03-31,1.138,1.1336,1.1413,1.1307
2016-03-30,1.1338,1.1288,1.1366,1.1279
2016-03-29,1.1291,1.1196,1.1305,1.1166
2016-03-28,1.1196,1.1161,1.1221,1.1151
2016-03-25,1.1166,1.1173,1.1189,1.115
2016-03-24,1.1174,1.1178,1.1188,1.1142
2016-03-23,1.1184,1.1217,1.1224,1.1157
2016-03-22,1.1217,1.1242,1.1263,1.1187
2016-03-21,1.1241,1.1268,1.1286,1.1233
2016-03-18,1.127,1.1316,1.1339,1.1254
2016-03-17,1.1319,1.1222,1.1344,1.1203
2016-03-16,1.1225,1.1107,1.1245,1.1055
2016-03-15,1.1109,1.1099,1.1125,1.107
2016-03-14,1.1106,1.1149,1.1177,1.1074
2016-03-11,1.1153,1.1174,1.1212,1.1078
2016-03-10,1.1177,1.0997,1.1218,1.082
2016-03-09,1.0999,1.101,1.1037,1.0944
2016-03-08,1.1011,1.1012,1.1059,1.099
2016-03-07,1.1014,1.1006,1.1027,1.0938
2016-03-04,1.1004,1.0955,1.1045,1.09
2016-03-03,1.0957,1.0865,1.0974,1.0851
2016-03-02,1.0868,1.0866,1.0881,1.0823
2016-03-01,1.0867,1.087,1.0896,1.0832
2016-02-29,1.0873,1.093,1.0964,1.0856
2016-02-26,1.0934,1.1017,1.1071,1.091
2016-02-25,1.1023,1.1011,1.1052,1.0985
2016-02-24,1.1013,1.1017,1.1047,1.0955
2016-02-23,1.102,1.1027,1.1055,1.0987
2016-02-22,1.1029,1.1125,1.1137,1.1
2016-02-19,1.1135,1.1105,1.114,1.1064
2016-02-18,1.1107,1.1126,1.1153,1.1068
2016-02-17,1.1128,1.1142,1.118,1.1103
2016-02-16,1.1144,1.1152,1.1196,1.112
2016-02-15,1.1155,1.1249,1.1253,1.1125
2016-02-12,1.126,1.1325,1.1335,1.1212
2016-02-11,1.1324,1.1289,1.1378,1.1271
2016-02-10,1.129,1.1291,1.1311,1.1158
2016-02-09,1.1293,1.1195,1.1339,1.1161
2016-02-08,1.1198,1.1156,1.1218,1.1084
2016-02-05,1.1159,1.1206,1.1246,1.1107
2016-02-04,1.1208,1.1102,1.124,1.1068
2016-02-03,1.1104,1.0916,1.1146,1.0902
2016-02-02,1.0919,1.0888,1.0943,1.0882
2016-02-01,1.0889,1.0831,1.0915,1.0812
2016-01-29,1.0837,1.0936,1.0951,1.0809
2016-01-28,1.0939,1.0889,1.0969,1.0867
2016-01-27,1.0893,1.0869,1.0917,1.0849
2016-01-26,1.0872,1.0847,1.0876,1.0817
2016-01-25,1.0849,1.0797,1.0858,1.0786
2016-01-22,1.0797,1.0871,1.0879,1.0787
2016-01-21,1.0874,1.0891,1.0922,1.0777
2016-01-20,1.0891,1.0908,1.0977,1.0875
2016-01-19,1.0909,1.0889,1.0941,1.0858
2016-01-18,1.0893,1.0916,1.094,1.0867
2016-01-15,1.0917,1.0863,1.0987,1.0852
2016-01-14,1.0865,1.0878,1.0945,1.0833
